fifa_database
player_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,league_id,league_name,league_level,club_team_id,club_name,club_position,club_jersey_number,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,release_clause_eur,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
158023,/player/158023/lionel-messi/230009,L.Messi,LionelAndrésMessiCuccittini,RW,91,91,54000000,195000,35,6/24/1987,169,67,16,Ligue1,1,73,ParisSaintGermain,RS,30,8/10/2021,2023,52,Argentina,1369,RW,10,Left,4,4,5,Low/Low,Unique,99900000,"FinesseShot,LongShotTaker(AI),Playmaker(AI),OutsideFootShot,ChipShot(AI),TechnicalDribbler(AI)",81,89,90,94,34,64,84,90,70,91,88,95,93,93,90,93,87,76,91,92,95,86,68,70,68,91,44,40,93,94,75,96,20,35,24,6,11,15,14,8,
165153,/player/165153/karim-benzema/230009,K.Benzema,KarimBenzema,"CF,ST",91,91,64000000,450000,34,12/19/1987,185,81,53,LaLiga,1,243,RealMadrid,CF,9,7/9/2009,2023,18,France,,,,Right,4,4,4,Medium/Medium,Normal(170-185),131200000,"Leadership,FinesseShot,Playmaker(AI),OutsideFootShot,TeamPlayer",80,88,83,87,39,78,75,92,90,89,88,87,82,73,76,91,79,80,78,92,72,87,79,82,82,80,63,39,92,89,84,90,43,24,18,13,11,5,5,7,
188545,/player/188545/robert-lewandowski/230009,R.Lewandowski,RobertLewandowski,ST,91,91,84000000,420000,33,8/21/1988,185,81,53,LaLiga,1,241,FCBarcelona,ST,9,7/18/2022,2025,37,Poland,1353,ST,9,Right,4,4,5,High/Medium,Unique,172200000,"SolidPlayer,FinesseShot,OutsideFootShot,ChipShot(AI)",75,91,79,86,44,83,71,94,91,84,89,85,79,85,70,89,76,75,77,93,82,91,85,76,87,84,81,49,94,81,90,88,35,42,19,15,6,12,8,10,
192985,/player/192985/kevin-de-bruyne/230009,K.DeBruyne,KevinDeBruyne,"CM,CAM",91,91,107500000,350000,31,6/28/1991,181,75,13,PremierLeague,1,10,ManchesterCity,RCM,17,8/30/2015,2025,7,Belgium,1325,RF,7,Right,5,4,4,High/Medium,Unique,198900000,"InjuryProne,Leadership,EarlyCrosser,LongPasser(AI),LongShotTaker(AI),Playmaker(AI),OutsideFootShot",74,88,93,87,63,77,94,85,55,93,83,87,89,83,93,90,76,73,76,91,78,92,63,89,74,91,75,64,88,94,83,89,65,65,53,15,13,5,10,13,
231747,/player/231747/kylian-mbappe/230009,K.Mbappé,KylianMbappéLottin,"ST,LW",91,95,190500000,230000,23,12/20/1998,182,73,16,Ligue1,1,73,ParisSaintGermain,LS,7,7/1/2018,2024,18,France,1335,LW,10,Right,4,5,4,High/Low,Unique,366700000,"SolidPlayer,Flair,SpeedDribbler(AI),OutsideFootShot,TechnicalDribbler(AI)",97,89,80,92,36,76,78,93,72,85,83,93,80,69,71,91,97,97,93,93,81,88,77,87,76,82,64,38,92,83,80,88,26,34,32,13,5,7,11,6,
192119,/player/192119/thibaut-courtois/230009,T.Courtois,ThibautNicolasMarcCourtois,GK,90,91,90000000,250000,30,5/11/1992,199,96,53,LaLiga,1,243,RealMadrid,GK,1,8/9/2018,2026,7,Belgium,1325,GK,1,Left,3,1,4,Medium/Medium,Unique,191300000,"GKLongThrow,ComesForCrosses",,,,,,,14,14,13,33,12,13,19,20,35,23,42,52,63,84,45,56,68,38,70,17,23,15,13,44,27,66,20,18,16,84,89,75,89,90,46
209331,/player/209331/mohamed-salah/230009,M.Salah,MohamedSalahGhaly,RW,90,90,115500000,270000,30,6/15/1992,175,71,13,PremierLeague,1,9,Liverpool,RW,11,7/1/2017,2023,111,Egypt,,,,Left,3,4,4,High/Medium,Unique,213700000,"FinesseShot,LongShotTaker(AI),SpeedDribbler(AI),OutsideFootShot,ChipShot(AI)",90,89,82,90,45,75,80,93,59,84,84,90,84,69,77,88,89,90,90,93,91,83,69,87,75,85,63,55,92,85,86,92,38,43,41,14,14,9,11,14,
167495,/player/167495/manuel-neuer/230009,M.Neuer,ManuelPeterNeuer,GK,89,89,11500000,69000,36,3/27/1986,193,93,19,Bundesliga,1,21,FCBayernMünchen,SUB,1,7/1/2011,2024,21,Germany,1337,GK,1,Right,4,1,5,Medium/Medium,Unique,19000000,"Leadership,GKLongThrow,RushesOutOfGoal,ComesForCrosses",,,,,,,15,13,25,60,11,30,14,11,68,46,48,50,51,85,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,87,88,90,88,87,49
190871,/player/190871/neymar-da-silva-santos-jr/230009,NeymarJr,NeymardaSilvaSantosJúnior,LW,89,89,99500000,200000,30,2/5/1992,175,68,16,Ligue1,1,73,ParisSaintGermain,CAM,10,8/3/2017,2025,54,Brazil,,,,Right,5,5,5,High/Medium,Unique,184100000,"InjuryProne,Flair,SpeedDribbler(AI),Playmaker(AI),OutsideFootShot,TechnicalDribbler(AI)",87,83,85,93,37,61,83,83,63,85,86,95,88,87,81,94,88,86,93,88,82,79,62,79,52,81,63,37,86,90,91,93,35,32,29,9,9,15,15,11,
200145,/player/200145/carlos-henrique-venancio-casimiro/230009,Casemiro,CarlosHenriqueVenancioCasimiro,CDM,89,89,86000000,240000,30,2/23/1992,185,84,13,PremierLeague,1,11,ManchesterUnited,RDM,18,8/19/2022,2026,54,Brazil,,,,Right,3,2,3,Medium/High,Unique,163400000,"PowerFree-Kick,SolidPlayer,DivesIntoTackles(AI),LongPasser(AI),LongShotTaker(AI),TeamPlayer",63,73,78,73,88,89,62,64,81,84,65,69,72,74,84,80,60,66,61,88,66,88,85,88,90,81,91,88,75,79,66,84,90,88,87,13,14,16,12,12,
